email_id,category,notes
email_001,Document Comparison,SI and draft BL are attached for checking and confirmation
email_002,Invoice Query,Asks whether local charges are included in the invoice
email_003,Document Comparison,Requests the draft BL to be sent for checking
email_004,Document Comparison,SI and draft BL are attached for checking and confirmation
email_005,Document Comparison,SI and draft BL are attached for verification
email_006,Document Comparison,Requests the draft BL to be sent for checking
email_007,New SI Request,Provides a full shipping instruction with route and party details
email_008,New SI Request,Provides a full shipping instruction with route and party details
email_009,Document Comparison,SI and draft BL are attached for verification
email_010,Invoice Query,Asks whether local charges are included in the invoice
email_011,General Message,Internal outstanding BL status and follow-up notice
email_012,General Message,Daily vessel berthing operational report
email_013,Document Comparison,SI and draft BL are attached for checking and confirmation
email_014,New SI Request,Provides a full shipping instruction with route and party details
email_015,Spam,Mailbox-verification phishing message with an urgent deactivation warning
email_016,Document Comparison,Requests the draft BL to be sent for checking
email_017,Invoice Query,Requests confirmation of D&D and detention charges before payment
email_018,Document Comparison,Requests the draft BL to be sent for checking
email_019,New SI Request,Provides a full shipping instruction with route and party details
email_020,New SI Request,Provides a full shipping instruction with route and party details
email_021,General Message,Operational reminder to submit pending SI and AED
email_022,New SI Request,Provides a full shipping instruction with route and party details
email_023,New SI Request,Provides a full shipping instruction with route and party details
email_024,Invoice Query,Reports a missing GR for an invoice and requests billing action
email_025,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_026,Spam,Unsolicited high-discount logistics promotion
email_027,New SI Request,Provides a full shipping instruction with route and party details
email_028,New SI Request,Provides a full shipping instruction with route and party details
email_029,New SI Request,Provides a full shipping instruction with route and party details
email_030,New SI Request,Provides a full shipping instruction with route and party details
email_031,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_032,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_033,New SI Request,Provides a full shipping instruction with route and party details
email_034,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_035,New SI Request,Provides a full shipping instruction with route and party details
email_036,Document Comparison,Requests the draft BL to be sent for checking
email_037,General Message,Operational update summary with loading status
email_038,Document Comparison,Requests the draft BL to be sent for checking
email_039,New SI Request,Provides a full shipping instruction with route and party details
email_040,Document Comparison,SI and draft BL are attached for verification
email_041,Invoice Query,Requests confirmation of D&D and detention charges before payment
email_042,New SI Request,Provides a full shipping instruction with route and party details
email_043,Document Comparison,SI and draft BL are attached for checking and confirmation
email_044,Document Comparison,SI and draft BL are attached for checking and confirmation
email_045,Invoice Query,Requests confirmation of D&D and detention charges before payment
email_046,Document Comparison,SI and draft BL are attached for verification
email_047,Document Comparison,Requests the draft BL to be sent for checking
email_048,Invoice Query,Requests confirmation of D&D and detention charges before payment
email_049,Document Comparison,Requests the draft BL to be sent for checking
email_050,Document Comparison,Requests the draft BL to be sent for checking
email_051,Document Comparison,SI and draft BL are attached for checking and confirmation
email_052,Document Comparison,SI and draft BL are attached for verification
email_053,General Message,New Year greeting and office resumption announcement
email_054,New SI Request,Provides a full shipping instruction with route and party details
email_055,Document Comparison,SI and draft BL are attached for checking and confirmation
email_056,Document Comparison,SI and draft BL are attached for checking and confirmation
email_057,New SI Request,Provides a full shipping instruction with route and party details
email_058,Document Comparison,SI and draft BL are attached for checking and confirmation
email_059,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_060,Invoice Query,Asks whether local charges are included in the invoice
email_061,Document Comparison,Requests the draft BL to be sent for checking
email_062,Invoice Query,Asks whether local charges are included in the invoice
email_063,Document Comparison,Requests the draft BL to be sent for checking
email_064,Document Comparison,SI and draft BL are attached for verification
email_065,Document Comparison,SI and draft BL are attached for checking and confirmation
email_066,Document Comparison,Requests the draft BL to be sent for checking
email_067,New SI Request,Provides a full shipping instruction with route and party details
email_068,Document Comparison,SI and draft BL are attached for verification
email_069,Invoice Query,Reports a missing GR for an invoice and requests billing action
email_070,General Message,Daily vessel berthing operational report
email_071,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_072,Spam,Fake prize or gift-card claim containing a suspicious link
email_073,New SI Request,Provides a full shipping instruction with route and party details
email_074,Invoice Query,Asks whether local charges are included in the invoice
email_075,General Message,Automated billing-process completion notice with no action required
email_076,General Message,Internal outstanding BL status and follow-up notice
email_077,Document Comparison,Requests the draft BL to be sent for checking
email_078,Invoice Query,Asks whether local charges are included in the invoice
email_079,New SI Request,Provides a full shipping instruction with route and party details
email_080,Document Comparison,Requests the draft BL to be sent for checking
email_081,Document Comparison,Requests the draft BL to be sent for checking
email_082,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_083,General Message,Daily vessel berthing operational report
email_084,New SI Request,Provides a full shipping instruction with route and party details
email_085,Invoice Query,Asks whether local charges are included in the invoice
email_086,General Message,Operational reminder to submit pending SI and AED
email_087,Invoice Query,Reports a missing GR for an invoice and requests billing action
email_088,Document Comparison,Requests the draft BL to be sent for checking
email_089,General Message,Operational reminder to submit pending SI and AED
email_090,Document Comparison,SI and draft BL are attached for verification
email_091,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_092,Document Comparison,Requests the draft BL to be sent for checking
email_093,New SI Request,Provides a full shipping instruction with route and party details
email_094,New SI Request,Provides a full shipping instruction with route and party details
email_095,Document Comparison,Requests the draft BL to be sent for checking
email_096,Document Comparison,SI and draft BL are attached for checking and confirmation
email_097,Document Comparison,SI and draft BL are attached for checking and confirmation
email_098,General Message,Automated billing-process completion notice with no action required
email_099,Invoice Query,Asks whether local charges are included in the invoice
email_100,Document Comparison,Requests the draft BL to be sent for checking
email_101,New SI Request,Provides a full shipping instruction with route and party details
email_102,Invoice Query,Reports a missing GR for an invoice and requests billing action
email_103,New SI Request,Provides a full shipping instruction with route and party details
email_104,Invoice Query,Asks whether local charges are included in the invoice
email_105,Document Comparison,Requests the draft BL to be sent for checking
email_106,New SI Request,Provides a full shipping instruction with route and party details
email_107,Document Comparison,SI and draft BL are attached for verification
email_108,Invoice Query,Requests invoice cancellation and PGI reversal
email_109,Document Comparison,Requests the draft BL to be sent for checking
email_110,New SI Request,Provides a full shipping instruction with route and party details
email_111,Document Comparison,SI and draft BL are attached for verification
email_112,Invoice Query,Asks whether local charges are included in the invoice
email_113,Document Comparison,SI and draft BL are attached for checking and confirmation
email_114,Document Comparison,Requests the draft BL to be sent for checking
email_115,Invoice Query,Reports a missing GR for an invoice and requests billing action
email_116,Spam,Fake parcel-delivery notice requesting a small customs payment
email_117,General Message,Automated billing-process completion notice with no action required
email_118,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_119,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_120,New SI Request,Provides a full shipping instruction with route and party details
email_121,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_122,New SI Request,Provides a full shipping instruction with route and party details
email_123,Spam,Fake prize or gift-card claim containing a suspicious link
email_124,New SI Request,Provides a full shipping instruction with route and party details
email_125,New SI Request,Provides a full shipping instruction with route and party details
email_126,General Message,Daily vessel berthing operational report
email_127,New SI Request,Provides a full shipping instruction with route and party details
email_128,Document Comparison,SI and draft BL are attached for verification
email_129,Document Comparison,SI and draft BL are attached for checking and confirmation
email_130,New SI Request,Provides a full shipping instruction with route and party details
email_131,New SI Request,Provides a full shipping instruction with route and party details
email_132,Document Comparison,SI and draft BL are attached for verification
email_133,Document Comparison,SI and draft BL are attached for verification
email_134,Spam,Fake parcel-delivery notice requesting a small customs payment
email_135,New SI Request,Provides a full shipping instruction with route and party details
email_136,Document Comparison,Requests the draft BL to be sent for checking
email_137,New SI Request,Provides a full shipping instruction with route and party details
email_138,New SI Request,Provides a full shipping instruction with route and party details
email_139,Invoice Query,Asks whether local charges are included in the invoice
email_140,Spam,Mailbox-verification phishing message with an urgent deactivation warning
email_141,Document Comparison,Requests the draft BL to be sent for checking
email_142,General Message,New Year greeting and office resumption announcement
email_143,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_144,Document Comparison,SI and draft BL are attached for verification
email_145,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_146,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_147,General Message,Internal outstanding BL status and follow-up notice
email_148,New SI Request,Provides a full shipping instruction with route and party details
email_149,New SI Request,Provides a full shipping instruction with route and party details
email_150,Spam,Unsolicited high-discount logistics promotion
email_151,New SI Request,Provides a full shipping instruction with route and party details
email_152,Document Comparison,Requests the draft BL to be sent for checking
email_153,General Message,Daily vessel berthing operational report
email_154,New SI Request,Provides a full shipping instruction with route and party details
email_155,Invoice Query,Asks whether local charges are included in the invoice
email_156,Spam,Mailbox-verification phishing message with an urgent deactivation warning
email_157,New SI Request,Provides a full shipping instruction with route and party details
email_158,Document Comparison,Requests the draft BL to be sent for checking
email_159,General Message,Internal outstanding BL status and follow-up notice
email_160,Document Comparison,Explicitly asks to compare the draft BL against the SI
email_161,Document Comparison,Requests the draft BL to be sent for checking
email_162,New SI Request,Provides a full shipping instruction with route and party details
email_163,New SI Request,Provides a full shipping instruction with route and party details
email_164,New SI Request,Provides a full shipping instruction with route and party details
email_165,Invoice Query,Requests confirmation of D&D and detention charges before payment
email_166,New SI Request,Provides a full shipping instruction with route and party details
email_167,Document Comparison,SI and draft BL are attached for checking and confirmation
email_168,New SI Request,Provides a full shipping instruction with route and party details
email_169,Invoice Query,Reports a missing GR for an invoice and requests billing action
email_170,Invoice Query,Reports a missing GR for an invoice and requests billing action
email_171,Document Comparison,SI and draft BL are attached for checking and confirmation
email_172,New SI Request,Provides a full shipping instruction with route and party details
email_173,General Message,Daily vessel berthing operational report
email_174,Document Comparison,SI and draft BL are attached for verification
